Feature1,Feature2,Correlation
Fruits_and_vegetables_positive,food_neutral,-1
food_mentioned,food_neutral,-1
food_positive,food_neutral,-1
Fruits_and_vegetables_positive,Fruits_and_vegetables_neutral,-1
Fruits_and_vegetables_mentioned,food_neutral,-1
Fruits_and_vegetables_mentioned,Fruits_and_vegetables_neutral,-1
Fruits_and_vegetables_mentioned,Fruits_and_vegetables_positive,1
music_mentioned,music_negative,1
music_mentioned,music_neutral,-1
Fruits_and_vegetables_neutral,food_positive,-1
Fruits_and_vegetables_mentioned,food_mentioned,1
music_negative,music_neutral,-1
Fruits_and_vegetables_neutral,food_mentioned,-1
Fruits_and_vegetables_positive,food_mentioned,1
Fruits_and_vegetables_positive,food_positive,1
Fruits_and_vegetables_mentioned,food_positive,1
food_mentioned,food_positive,1
Fruits_and_vegetables_neutral,food_neutral,1
word_count,char_count,0.849837
avg_word_length,lexical_diversity,0.816421
shortness_score,lexical_diversity,-0.813665
word_count,avg_sentence_length,0.761912
sentence_count,char_count,0.75224
avg_word_length,shortness_score,-0.744404
lexical_diversity,flesch_reading_ease,0.724706
shortness_score,flesch_reading_ease,-0.716628
char_count,avg_sentence_length,0.682027
char_count,positive_word_count,0.670146
negative_word_count,negative_word_ratio,0.662255
word_count,sentence_count,0.631921
sentence_count,positive_word_count,0.599308
TDnorm_concept_learning,overall_concept_learning,0.576329
sentence_count,shortness_score,-0.568907
avg_sentence_length,shortness_score,-0.558227
TDNorm_avg_PE,lexical_diversity,0.536405
char_count,shortness_score,-0.509531
word_count,positive_word_count,0.504921
avg_sentence_length,positive_word_count,0.501154
char_count,negative_word_count,0.499718
shortness_score,positive_word_count,-0.495038
avg_word_length,flesch_kincaid_grade,0.494799
TDNorm_avg_PE,shortness_score,-0.486755
avg_sentence_length,flesch_kincaid_grade,0.476709
TDNorm_avg_PE,flesch_reading_ease,0.468458
TDNorm_avg_PE,overall_avg_PE,0.465143
char_count,flesch_kincaid_grade,0.449512
sentence_count,negative_word_count,0.429921
TDNorm_avg_PE,avg_word_length,0.425553
positive_word_ratio,flesch_reading_ease,0.419287
word_count,shortness_score,-0.414271
avg_word_length,flesch_reading_ease,0.413212
flesch_reading_ease,flesch_kincaid_grade,-0.39445
positive_word_count,positive_word_ratio,0.382282
word_count,negative_word_count,0.381235
avg_word_length,positive_word_ratio,0.375548
lexical_diversity,positive_word_ratio,0.372659
positive_word_count,negative_word_count,0.371719
sentence_count,avg_word_length,0.357054
avg_sentence_length,negative_word_count,0.333882
sentence_count,flesch_reading_ease,0.31987
shortness_score,sentiment_subjectivity,-0.319258
char_count,sentiment_subjectivity,0.312124
shortness_score,flesch_kincaid_grade,-0.311228
shortness_score,positive_word_ratio,-0.305821
word_count,flesch_kincaid_grade,0.305569
shortness_score,negative_word_count,-0.290981
positive_word_count,flesch_kincaid_grade,0.277669
avg_word_length,positive_word_count,0.269748
sentiment_polarity,sentiment_subjectivity,0.265174
avg_sentence_length,sentiment_subjectivity,0.264287
sentence_count,sentiment_subjectivity,0.262751
sentence_count,avg_sentence_length,0.257976
sentiment_subjectivity,flesch_kincaid_grade,0.25478
overall_avg_PE,FSR_scaled,0.254207
char_count,avg_word_length,0.249129
positive_word_count,flesch_reading_ease,0.248039
avg_word_length,avg_sentence_length,0.246462
sentence_count,lexical_diversity,0.23165
word_count,sentiment_subjectivity,0.230944
avg_word_length,sentiment_subjectivity,0.225463
