Column Name,Meaning
sub,Participant ID
td_or_asd,"Is this participant classified as TD (typically developing) or ASD? 0 = TD, 1 = ASD"
FSR,Total score on the Flexibility Scale-Revised. Higher scores indicate lower flexibility/greater rigidity. 
BIS,Total score on the Behavioral Inflexibility Scale. Higher scores indicate lower flexibility/greater rigidity. 
SRS.Raw,Raw total score on the Social Responsiveness Scale (2nd edition). Higher scores indicate greater severity of autism symptoms. It is called Raw because it can also be converted into a T-score.
TDNorm_avg_PE,"Across all trials, average PE for TDNorm profile"
overall_avg_PE,"Across all trials, average PE across all 3 profiles"
TDnorm_concept_learning,"Across all trials, slope of PE for TDNorm profile"
overall_concept_learning,"Across all trials, slope of PE across all 3 profiles"
free_response_TDprof_norm,Participant's free response for TDprof_norm
free_response_ASDprof_norm,Participant's free response for ASDprof_norm
free_response_ASDprof_unif,Participant's free response for ASDprof_unif
