Column Name,Meaning
sub,Participant ID
subject,Participant ID followed by a random code for the current profile
td_or_asd,"Is this participant classified as TD (typically developing) or ASD? 0 = TD, 1 = ASD"
asd_diagnosis_text,Which ASD diagnosis does the participant have? Only available for ASD participants. 
trial,The trial number (1-60)  within the current profile.
profile,"Peer profile: TDprof_norm, ASDprof_norm, or ASDprof_unif. These represent the preference profiles of the 3 kids participants learned about. Participants will have data for at least 2 profiles."
image,The image shown on the current trial. Order is randomized within profile for each participant. 
cat,"Image category  (1 = activities, 3 = foods)"
subcat,"Image subcategory (1 = arts & crafts, 2 = music & instruments, 3 = sports, 4 = games & gadgets, 9 = fast food, 10 = fruits & vegetables, 11 = healthy & savory, 12 = desserts"
concept,Descriptive image concept label
cnum,Image concept number
selfpref,How much does the participant like this image?
asd_meanpref,"On average, how much do ASD participants like this image? "
td_meanpref,"On average, how much do TD participants like this image? "
slider_rating,The participant's rating of how much they think the peer in question like the image shown.
profile_rating,The correct rating for the given image and profile (this is the feedback given to participants)
PE,The absolute difference between a participant's rating of how much they think the peer likes an item and the peer's actual liking of the item (actual liking = feedback).
profile_avg_PE,Participant's average prediction error (PE) on each peer profile. Prediction error was calculated as the absolute difference between a participant's rating of how much they think the peer likes an item (slider_rating) and the peer's actual liking of the item (profile_rating).
free_response,Participant's free response -- what they think about the peer they just learned about.
