td_or_asd,FSR,TDNorm_avg_PE,overall_avg_PE,TDnorm_concept_learning,overall_concept_learning,free_response_TDprof_norm,FSR_scaled,TDNorm_avg_PE_scaled,overall_avg_PE_scaled,personality_inference_mentioned,personality_inference_positive,personality_inference_negative,personality_inference_neutral,sweets_mentioned,sweets_positive,sweets_negative,sweets_neutral,Fruits_and_vegetables_mentioned,Fruits_and_vegetables_positive,Fruits_and_vegetables_negative,Fruits_and_vegetables_neutral,healthy_savory_food_mentioned,healthy_savory_food_positive,healthy_savory_food_negative,healthy_savory_food_neutral,food_mentioned,food_positive,food_negative,food_neutral,cosmetics_mentioned,cosmetics_positive,cosmetics_negative,cosmetics_neutral,fashion_mentioned,fashion_positive,fashion_negative,fashion_neutral,toys_gadgets_and_games_mentioned,toys_gadgets_and_games_positive,toys_gadgets_and_games_negative,toys_gadgets_and_games_neutral,sports_mentioned,sports_positive,sports_negative,sports_neutral,music_mentioned,music_positive,music_negative,music_neutral,arts_and_crafts_mentioned,arts_and_crafts_positive,arts_and_crafts_negative,arts_and_crafts_neutral,word_count,sentence_count,char_count,avg_word_length,avg_sentence_length,shortness_score,lexical_diversity,sentiment_polarity,sentiment_subjectivity,positive_word_count,negative_word_count,positive_word_ratio,negative_word_ratio,flesch_reading_ease,flesch_kincaid_grade
1,26.0,5.2,6.0,0.115144192958039,-0.0869465182991456,Doesn't like alot,-0.3207667367709527,-0.3411280112295889,-0.3860721885555726,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,17.0,3.75,4.0,0.2,1.0,0.0,0.0,1.0,0.0,0.25,0.0,62.79000000000002,5.246666666666666
0,11.0,4.53333333333333,5.56111111111111,-0.0728734663249057,-0.0300516340785189,Riley really likes chocolate cake and bacon and I do too!,-1.1483339397077266,-0.8647586735966949,-0.815814151409374,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,12.0,1.0,57.0,3.9166666666666665,12.0,0.07692307692307693,0.9166666666666666,0.25,0.2,1.0,0.0,0.08333333333333333,0.0,80.30636363636367,4.790909090909089
1,48.0,6.41666666666667,6.95833333333333,-0.0478161487630505,0.16097232288684,"quinn likes healthy food and does not like sports very much 
",0.8929984942029824,0.6144979475903761,0.5522884265365832,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,11.0,1.0,61.0,4.454545454545454,11.0,0.08333333333333333,1.0,0.38,0.38,2.0,1.0,0.18181818181818182,0.09090909090909091,95.68818181818183,2.645454545454548
1,34.0,4.41666666666667,5.59444444444444,0.0032209852827165,-0.0069523127281324,he does not like dices or burgers,0.12060243812866007,-0.9563940395109327,-0.7831755213192155,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,1.0,33.0,3.857142857142857,7.0,0.125,1.0,0.0,0.0,1.0,1.0,0.14285714285714285,0.14285714285714285,103.04428571428575,0.6257142857142846
0,9.0,5.25,5.71666666666667,0.0591861284432647,-0.104675597411306,we could see that he liked lot of food and toys.,-1.2586762334326298,-0.3018557115520563,-0.6635005443219464,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,12.0,1.0,48.0,3.1666666666666665,12.0,0.07692307692307693,1.0,0.6,0.8,0.0,0.0,0.0,0.0,111.07000000000002,0.5
1,49.0,5.06666666666667,6.42777777777778,-0.0061780630933581,-0.0820677755295146,"She likes vegitables, fruits, and healthy foods. She likes board games, but not sports.",0.948169641065434,-0.445854143703007,0.032790230934842256,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,2.0,87.0,3.8947368421052633,9.5,0.05,0.7368421052631579,0.5,0.5,2.0,1.0,0.10526315789473684,0.05263157894736842,84.9157142857143,3.1542857142857166
1,42.0,4.11666666666667,5.56666666666667,0.410164031568465,0.291786409673989,"he doesn't like buritos, he likes and plays musical instruments, and loves pie ",0.5619716130282728,-1.1920278375761288,-0.8103743797276759,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,16.0,1.0,79.0,4.125,16.0,0.058823529411764705,0.8125,0.0,0.0,3.0,0.0,0.1875,0.0,63.486153846153854,7.633846153846157
1,50.0,7.3,7.16666666666667,-0.0721752970299437,-0.0144730215896622,Cool kid,1.0033407879278855,1.308308575226785,0.7562798646001018,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,8.0,3.5,2.0,0.3333333333333333,1.0,0.35,0.65,1.0,0.0,0.5,0.0,120.20500000000001,-3.01
1,30.0,5.18333333333333,5.80555555555556,-0.325051133010754,-0.256912743879805,"I hold a variety of perspectives shaped by the insights we gain from Riley's experiences, and I believe that's perfectly natural. Life is inherently complex, and differing viewpoints enrich our understanding. Beyond this, I have no further comments. If by chance you are named Riley and find this conversation upsetting, I sincerely empathize with your feelings. Always keep in mind, Riley, that embracing diverse viewpoints is a fundamental aspect of life, and it can lead to deeper connections and learning opportunities.",-0.1000821493211463,-0.35421877778876926,-0.576464197414847,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,95.0,5.0,523.0,4.663157894736842,19.0,0.010416666666666666,0.7052631578947368,0.07500000000000001,0.45,0.0,1.0,0.0,0.010526315789473684,43.125333333333344,11.268740740740743
0,27.0,4.91666666666667,6.23888888888889,0.0085853018012574,-0.0870209181706372,I think he is not into sports that much and he likes every type of food.,-0.2655955899085011,-0.5636710427356054,-0.15216200624274373,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,17.0,1.0,72.0,3.3529411764705883,17.0,0.05555555555555555,0.9411764705882353,0.2,0.2,1.0,1.0,0.058823529411764705,0.058823529411764705,90.13250000000001,4.662500000000001
